0,brand,category,overall_reviews,overall_star,star5,star4,star3,star2,star1,value_for_money,value_for_money_num,product_quality,product_quality_num,customer_service,customer_service_num
Superga,superga,,,,,,,,,,,,,,
YOOX,yoox,,,,,,,,,,,,,,
Raiz Energy,raiz-energy,,,,,,,,,,,,,,
JBL,jbl,,,,,,,,,,,,,,
White Fox Boutique,white-fox-boutique,,,,,,,,,,,,,,
Ancestry®,ancestry®,,,,,,,,,,,,,,
Timberland,timberland,,,,,,,,,,,,,,
Hello Molly,hello-molly,,,,,,,,,,,,,,
Jurlique,jurlique,,,,,,,,,,,,,,
Vodafone,vodafone,,,,,,,,,,,,,,
Fiverr,fiverr,,,,,,,,,,,,,,
The Card Network,the-card-network,,,,,,,,,,,,,,
Apéro Label,apéro-label,,,,,,,,,,,,,,
Coach,coach,,,,,,,,,,,,,,
Beginning Boutique,beginning-boutique,,,,,,,,,,,,,,
The Showbag Shop,the-showbag-shop,,,,,,,,,,,,,,
Johnny Bigg,johnny-bigg,,,,,,,,,,,,,,
Lancôme,lancôme,,,,,,,,,,,,,,
Hamilton Island,hamilton-island,,,,,,,,,,,,,,
UGG,ugg,,,,,,,,,,,,,,
Nautica,nautica,,,,,,,,,,,,,,
Hawes & Curtis,hawes-&-curtis,,,,,,,,,,,,,,
Oroton,oroton,,,,,,,,,,,,,,
Mainline Menswear,mainline-menswear,,,,,,,,,,,,,,
Estro,estro,,,,,,,,,,,,,,
Alannah Hill,alannah-hill,,,,,,,,,,,,,,
Charles & Keith,charles-&-keith,,,,,,,,,,,,,,
BNKR,bnkr,,,,,,,,,,,,,,
Forever New In-Store,forever-new-in-store,,,,,,,,,,,,,,
ecco In-Store,ecco-in-store,,,,,,,,,,,,,,
New Balance In-Store,new-balance-in-store,,,,,,,,,,,,,,
Jack London,jack-london,,,,,,,,,,,,,,
Jarvis,jarvis,,,,,,,,,,,,,,
Peppermayo,peppermayo,clothing-shops-brands,178,2.6,54,10,11,23,80,,,,,,
Billini,billini,,,,,,,,,,,,,,
Missguided,missguided,,,,,,,,,,,,,,
YSL Beauty,ysl-beauty,,,,,,,,,,,,,,
Lanolips,lanolips,,,,,,,,,,,,,,
Harvey Nichols,harvey-nichols,,,,,,,,,,,,,,
Wittner,wittner,,,,,,,,,,,,,,
Saucony,saucony,,,,,,,,,,,,,,
Squarespace,squarespace,,,,,,,,,,,,,,
Autodesk,autodesk,,,,,,,,,,,,,,
Rusty,rusty,,,,,,,,,,,,,,
In Sport,in-sport,,,,,,,,,,,,,,
Virgin Australia,virgin-australia,,,,,,,,,,,,,,
Poncho Insurance,poncho-insurance,,,,,,,,,,,,,,
Klook,klook,,,,,,,,,,,,,,
Square,square,,,,,,,,,,,,,,
Lee Jeans,lee-jeans,,,,,,,,,,,,,,
amaysim Mobile,amaysim-mobile,,,,,,,,,,,,,,
dk active,dk-active,,,,,,,,,,,,,,
Sommuto,sommuto,,,,,,,,,,,,,,
Luxury Escapes,luxury-escapes,,,,,,,,,,,,,,
Bally,bally,,,,,,,,,,,,,,
Coles,coles,,,,,,,,,,,,,,
Soho Skincare,soho-skincare,,,,,,,,,,,,,,
Review,review,,,,,,,,,,,,,,
Best&Less In-Store (Ended),best&less-in-store-(ended),,,,,,,,,,,,,,
Marley Spoon,marley-spoon,food-drink-shops,,,,,,,,,,,,,
Nura,nura,,,,,,,,,,,,,,
Glassons,glassons,,,,,,,,,,,,,,
Seafolly,seafolly,,,,,,,,,,,,,,
Hallenstein Brothers,hallenstein-brothers,,,,,,,,,,,,,,
MacPaw,macpaw,,,,,,,,,,,,,,
WorkwearHub,workwearhub,,,,,,,,,,,,,,
Disney+,disney+,,,,,,,,,,,,,,
Trenery ,trenery-,,,,,,,,,,,,,,
Airbnb Host,airbnb-host,,,,,,,,,,,,,,
Showpo ,showpo-,,,,,,,,,,,,,,
Muval,muval,,,,,,,,,,,,,,
Nike,nike,,,,,,,,,,,,,,
Woolworths Mobile,woolworths-mobile,,,,,,,,,,,,,,
MyHouse,myhouse,,,,,,,,,,,,,,
Priceline,priceline,,,,,,,,,,,,,,
Vouchers,vouchers,,,,,,,,,,,,,,
HotelsCombined,hotelscombined,,,,,,,,,,,,,,
Amcal,amcal,,,,,,,,,,,,,,
Temt,temt,,,,,,,,,,,,,,
Umart,umart,,,,,,,,,,,,,,
David Jones,david-jones,,,,,,,,,,,,,,
Noni B,noni-b,clothing-shops-brands,"1,257",2.9,462,115,48,62,570,,,,,,
